Segment,Field,Field_Name,Component,Component_Name,Subcomponent,Subcomponent_Name
ERR,3,HL7 Error Code,8,Alternate Coding System Version ID,,
ERR,3,HL7 Error Code,9,Original Text,,
ERR,4,Severity,,,,
ERR,5,Application Error Code,1,Identifier,,
ERR,5,Application Error Code,2,Text,,
ERR,5,Application Error Code,3,Name of Coding System,,
ERR,5,Application Error Code,4,Alternate Identifier,,
ERR,5,Application Error Code,5,Alternate Text,,
ERR,5,Application Error Code,6,Name of Alternate Coding System,,
ERR,5,Application Error Code,7,Coding System Version ID,,
ERR,5,Application Error Code,8,Alternate Coding System Version ID,,
ERR,5,Application Error Code,9,Original Text,,
ERR,6,Application Error Parameter,,,,
ERR,7,Diagnostic Information,,,,
ERR,8,User Message,,,,
ERR,9,Inform Person Indicator,,,,
ERR,10,Override Type,1,Identifier,,
ERR,10,Override Type,2,Text,,
ERR,10,Override Type,3,Name of Coding System,,
ERR,10,Override Type,4,Alternate Identifier,,
ERR,10,Override Type,5,Alternate Text,,
ERR,10,Override Type,6,Name of Alternate Coding System,,
ERR,10,Override Type,7,Coding System Version ID,,
ERR,10,Override Type,8,Alternate Coding System Version ID,,
ERR,10,Override Type,9,Original Text,,
ERR,11,Override Reason Code,1,Identifier,,
ERR,11,Override Reason Code,2,Text,,
ERR,11,Override Reason Code,3,Name of Coding System,,
ERR,11,Override Reason Code,4,Alternate Identifier,,
ERR,11,Override Reason Code,5,Alternate Text,,
ERR,11,Override Reason Code,6,Name of Alternate Coding System,,
ERR,11,Override Reason Code,7,Coding System Version ID,,
ERR,11,Override Reason Code,8,Alternate Coding System Version ID,,
ERR,11,Override Reason Code,9,Original Text,,
ERR,12,Help Desk Contact Point,1,Telephone Number,,
ERR,12,Help Desk Contact Point,2,Telecommunication Use Code,,
ERR,12,Help Desk Contact Point,3,Telecommunication Equipment Type,,
ERR,12,Help Desk Contact Point,4,Email Address,,
ERR,12,Help Desk Contact Point,5,Country Code,,
ERR,12,Help Desk Contact Point,6,Area/City Code,,
ERR,12,Help Desk Contact Point,7,Local Number,,
ERR,12,Help Desk Contact Point,8,Extension,,
ERR,12,Help Desk Contact Point,9,Any Text,,
ERR,12,Help Desk Contact Point,10,Extension Prefix,,
ERR,12,Help Desk Contact Point,11,Speed Dial Code,,
ERR,12,Help Desk Contact Point,12,Unformatted Telephone Number,,
MSH,1,Field Separator,,,,
MSH,2,Encoding Characters,,,,
MSH,3,Sending Application,1,Namespace ID,,
MSH,3,Sending Application,2,Universal ID,,
MSH,3,Sending Application,3,Universal ID Type,,
MSH,4,Sending Facility,1,Namespace ID,,
MSH,4,Sending Facility,2,Universal ID,,
MSH,4,Sending Facility,3,Universal ID Type,,
MSH,5,Receiving Application,1,Namespace ID,,
MSH,5,Receiving Application,2,Universal ID,,
MSH,5,Receiving Application,3,Universal ID Type,,
MSH,6,Receiving Facility,1,Namespace ID,,
MSH,6,Receiving Facility,2,Universal ID,,
MSH,6,Receiving Facility,3,Universal ID Type,,
MSH,7,Date/Time Of Message,1,Time,,
MSH,7,Date/Time Of Message,2,Degree of Precision,,
MSH,8,Security,,,,
MSH,9,Message Type,1,Message Code,,
MSH,9,Message Type,2,Trigger Event,,
MSH,9,Message Type,3,Message Structure,,
MSH,10,Message Control ID,,,,
MSH,11,Processing ID,1,Processing ID,,
MSH,11,Processing ID,2,Processing Mode,,
MSH,12,Version ID,1,Version ID,,
MSH,12,Version ID,2,Internationalization Code,1,Identifier
MSH,12,Version ID,2,Internationalization Code,2,Text
MSH,12,Version ID,2,Internationalization Code,3,Name of Coding System
MSH,12,Version ID,2,Internationalization Code,4,Alternate Identifier
MSH,12,Version ID,2,Internationalization Code,5,Alternate Text
MSH,12,Version ID,2,Internationalization Code,6,Name of Alternate Coding System
MSH,12,Version ID,3,International Version ID,1,Identifier
MSH,12,Version ID,3,International Version ID,2,Text
MSH,12,Version ID,3,International Version ID,3,Name of Coding System
MSH,12,Version ID,3,International Version ID,4,Alternate Identifier
MSH,12,Version ID,3,International Version ID,5,Alternate Text
MSH,12,Version ID,3,International Version ID,6,Name of Alternate Coding System
MSH,13,Sequence Number,,,,
MSH,14,Continuation Pointer,,,,
MSH,15,Accept Acknowledgment Type,,,,
MSH,16,Application Acknowledgment Type,,,,
MSH,17,Country Code,,,,
MSH,18,Character Set,,,,
MSH,19,Principal Language Of Message,1,Identifier,,
MSH,19,Principal Language Of Message,2,Text,,
MSH,19,Principal Language Of Message,3,Name of Coding System,,
MSH,19,Principal Language Of Message,4,Alternate Identifier,,
MSH,19,Principal Language Of Message,5,Alternate Text,,
MSH,19,Principal Language Of Message,6,Name of Alternate Coding System,,
MSH,20,Altemate Character Set Handling Scheme,,,,
MSH,21,Message Profile Identifier,1,Entity Identifier,,
MSH,21,Message Profile Identifier,2,Namespace ID,,
MSH,21,Message Profile Identifier,3,Universal ID,,
MSH,21,Message Profile Identifier,4,Universal ID Type,,
NTE,1,Set ID - NTE,,,,
NTE,2,Source of Comment,,,,
NTE,3,Comment,,,,
NTE,4,Comment Type,1,Identifier,,
NTE,4,Comment Type,2,Text,,
NTE,4,Comment Type,3,Name of Coding System,,
NTE,4,Comment Type,4,Alternate Identifier,,
NTE,4,Comment Type,5,Alternate Text,,
NTE,4,Comment Type,6,Name of Alternate Coding System,,
SFT,1,Software Vendor Organization,1,Organization Name,,
SFT,1,Software Vendor Organization,2,Organization Name Type Code,,
SFT,1,Software Vendor Organization,3,ID Number,,
SFT,1,Software Vendor Organization,4,Check Digit,,
SFT,1,Software Vendor Organization,5,Check Digit Scheme,,
SFT,1,Software Vendor Organization,6,Assigning Authority,1,Namespace ID
SFT,1,Software Vendor Organization,6,Assigning Authority,2,Universal ID
SFT,1,Software Vendor Organization,6,Assigning Authority,3,Universal ID Type
SFT,1,Software Vendor Organization,7,Identifier Type Code,,
SFT,1,Software Vendor Organization,8,Assigning Facility,1,Namespace ID
SFT,1,Software Vendor Organization,8,Assigning Facility,2,Universal ID
SFT,1,Software Vendor Organization,8,Assigning Facility,3,Universal ID Type
SFT,1,Software Vendor Organization,9,Name Representation Code,,
SFT,1,Software Vendor Organization,10,Organization Identifier,,
SFT,2,Software Certified Version or Release Number,,,,
SFT,3,Software Product Name,,,,
SFT,4,Software Binary ID,,,,
SFT,5,Software Product Information,,,,
SFT,6,Software Install Date,1,Time,,
SFT,6,Software Install Date,2,Degree of Precision,,
PID,1,Set ID - PID,,,,
PID,2,Patient ID,1,ID Number,,
PID,2,Patient ID,2,Check Digit,,
PID,2,Patient ID,3,Check Digit Scheme,,
PID,2,Patient ID,4,Assigning Authority,1,Namespace ID
PID,2,Patient ID,4,Assigning Authority,2,Universal ID
PID,2,Patient ID,4,Assigning Authority,3,Universal ID Type
PID,2,Patient ID,5,Identifier Type Code,,
PID,2,Patient ID,6,Assigning Facility,1,Namespace ID
PID,2,Patient ID,6,Assigning Facility,2,Universal ID
PID,2,Patient ID,6,Assigning Facility,3,Universal ID Type
PID,2,Patient ID,7,Effective Date,,
PID,2,Patient ID,8,Expiration Date,,
PID,2,Patient ID,9,Assigning Jurisdiction,1,Identifier
PID,2,Patient ID,9,Assigning Jurisdiction,2,Text
PID,2,Patient ID,9,Assigning Jurisdiction,3,Name of Coding System
PID,2,Patient ID,9,Assigning Jurisdiction,4,Alternate Identifier
PID,2,Patient ID,9,Assigning Jurisdiction,5,Alternate Text
PID,2,Patient ID,9,Assigning Jurisdiction,6,Name of Alternate Coding System
PID,2,Patient ID,9,Assigning Jurisdiction,7,Coding System Version ID
PID,2,Patient ID,9,Assigning Jurisdiction,8,Alternate Coding System Version ID
PID,2,Patient ID,9,Assigning Jurisdiction,9,Original Text
PID,2,Patient ID,10,Assigning Agency or Department,1,Identifier
PID,2,Patient ID,10,Assigning Agency or Department,2,Text
PID,2,Patient ID,10,Assigning Agency or Department,3,Name of Coding System
PID,2,Patient ID,10,Assigning Agency or Department,4,Alternate Identifier
PID,2,Patient ID,10,Assigning Agency or Department,5,Alternate Text
PID,2,Patient ID,10,Assigning Agency or Department,6,Name of Alternate Coding System
PID,2,Patient ID,10,Assigning Agency or Department,7,Coding System Version ID
PID,2,Patient ID,10,Assigning Agency or Department,8,Alternate Coding System Version ID
PID,2,Patient ID,10,Assigning Agency or Department,9,Original Text
PID,3,Patient Identifier List,1,ID Number,,
PID,3,Patient Identifier List,2,Check Digit,,
PID,3,Patient Identifier List,3,Check Digit Scheme,,
PID,3,Patient Identifier List,4,Assigning Authority,1,Namespace ID
PID,3,Patient Identifier List,4,Assigning Authority,2,Universal ID
PID,3,Patient Identifier List,4,Assigning Authority,3,Universal ID Type
PID,3,Patient Identifier List,5,Identifier Type Code,,
PID,3,Patient Identifier List,6,Assigning Facility,1,Namespace ID
PID,3,Patient Identifier List,6,Assigning Facility,2,Universal ID
PID,3,Patient Identifier List,6,Assigning Facility,3,Universal ID Type
PID,3,Patient Identifier List,7,Effective Date,,
PID,3,Patient Identifier List,8,Expiration Date,,
PID,3,Patient Identifier List,9,Assigning Jurisdiction,1,Identifier
PID,3,Patient Identifier List,9,Assigning Jurisdiction,2,Text
PID,3,Patient Identifier List,9,Assigning Jurisdiction,3,Name of Coding System
PID,3,Patient Identifier List,9,Assigning Jurisdiction,4,Alternate Identifier
PID,3,Patient Identifier List,9,Assigning Jurisdiction,5,Alternate Text
PID,3,Patient Identifier List,9,Assigning Jurisdiction,6,Name of Alternate Coding System
PID,3,Patient Identifier List,9,Assigning Jurisdiction,7,Coding System Version ID
PID,3,Patient Identifier List,9,Assigning Jurisdiction,8,Alternate Coding System Version ID
PID,3,Patient Identifier List,9,Assigning Jurisdiction,9,Original Text
PID,3,Patient Identifier List,10,Assigning Agency or Department,1,Identifier
PID,3,Patient Identifier List,10,Assigning Agency or Department,2,Text
PID,3,Patient Identifier List,10,Assigning Agency or Department,3,Name of Coding System
PID,3,Patient Identifier List,10,Assigning Agency or Department,4,Alternate Identifier
PID,3,Patient Identifier List,10,Assigning Agency or Department,5,Alternate Text
PID,3,Patient Identifier List,10,Assigning Agency or Department,6,Name of Alternate Coding System
PID,3,Patient Identifier List,10,Assigning Agency or Department,7,Coding System Version ID
PID,3,Patient Identifier List,10,Assigning Agency or Department,8,Alternate Coding System Version ID
PID,3,Patient Identifier List,10,Assigning Agency or Department,9,Original Text
PID,4,Alternate Patient ID - PID,1,ID Number,,
PID,4,Alternate Patient ID - PID,2,Check Digit,,
PID,4,Alternate Patient ID - PID,3,Check Digit Scheme,,
PID,4,Alternate Patient ID - PID,4,Assigning Authority,1,Namespace ID
PID,4,Alternate Patient ID - PID,4,Assigning Authority,2,Universal ID
PID,4,Alternate Patient ID - PID,4,Assigning Authority,3,Universal ID Type
PID,4,Alternate Patient ID - PID,5,Identifier Type Code,,
PID,4,Alternate Patient ID - PID,6,Assigning Facility,1,Namespace ID
PID,4,Alternate Patient ID - PID,6,Assigning Facility,2,Universal ID
PID,4,Alternate Patient ID - PID,6,Assigning Facility,3,Universal ID Type
PID,4,Alternate Patient ID - PID,7,Effective Date,,
PID,4,Alternate Patient ID - PID,8,Expiration Date,,
PID,4,Alternate Patient ID - PID,9,Assigning Jurisdiction,1,Identifier
PID,4,Alternate Patient ID - PID,9,Assigning Jurisdiction,2,Text
PID,4,Alternate Patient ID - PID,9,Assigning Jurisdiction,3,Name of Coding System
PID,4,Alternate Patient ID - PID,9,Assigning Jurisdiction,4,Alternate Identifier
PID,4,Alternate Patient ID - PID,9,Assigning Jurisdiction,5,Alternate Text
PID,4,Alternate Patient ID - PID,9,Assigning Jurisdiction,6,Name of Alternate Coding System
PID,4,Alternate Patient ID - PID,9,Assigning Jurisdiction,7,Coding System Version ID
PID,4,Alternate Patient ID - PID,9,Assigning Jurisdiction,8,Alternate Coding System Version ID
PID,4,Alternate Patient ID - PID,9,Assigning Jurisdiction,9,Original Text
PID,4,Alternate Patient ID - PID,10,Assigning Agency or Department,1,Identifier
PID,4,Alternate Patient ID - PID,10,Assigning Agency or Department,2,Text
PID,4,Alternate Patient ID - PID,10,Assigning Agency or Department,3,Name of Coding System
PID,4,Alternate Patient ID - PID,10,Assigning Agency or Department,4,Alternate Identifier
PID,4,Alternate Patient ID - PID,10,Assigning Agency or Department,5,Alternate Text
PID,4,Alternate Patient ID - PID,10,Assigning Agency or Department,6,Name of Alternate Coding System
PID,4,Alternate Patient ID - PID,10,Assigning Agency or Department,7,Coding System Version ID
PID,4,Alternate Patient ID - PID,10,Assigning Agency or Department,8,Alternate Coding System Version ID
PID,4,Alternate Patient ID - PID,10,Assigning Agency or Department,9,Original Text
PID,5,Patient Name,1,Family Name,1,Surname
PID,5,Patient Name,1,Family Name,2,Own Surname Prefix
PID,5,Patient Name,1,Family Name,3,Own Surname
PID,5,Patient Name,1,Family Name,4,Surname Prefix From Partner/Spouse
PID,5,Patient Name,1,Family Name,5,Surname From Partner/Spouse
PID,5,Patient Name,2,Given Name,,
PID,5,Patient Name,3,Second and Further Given Names or Initials Thereof,,
PID,5,Patient Name,4,"Suffix (e.g., JR or III)",,
PID,5,Patient Name,5,"Prefix (e.g., DR)",,
PID,5,Patient Name,6,"Degree (e.g., MD)",,
PID,5,Patient Name,7,Name Type Code,,
PID,5,Patient Name,8,Name Representation Code,,
PID,5,Patient Name,9,Name Context,1,Identifier
PID,5,Patient Name,9,Name Context,2,Text
PID,5,Patient Name,9,Name Context,3,Name of Coding System
PID,5,Patient Name,9,Name Context,4,Alternate Identifier
PID,5,Patient Name,9,Name Context,5,Alternate Text
PID,5,Patient Name,9,Name Context,6,Name of Alternate Coding System
PID,5,Patient Name,10,Name Validity Range,1,Range Start Date/Time: Time
PID,5,Patient Name,10,Name Validity Range,2,Range Start Date/Time: Degree of Precision
PID,5,Patient Name,10,Name Validity Range,3,Range End Date/Time: Time
PID,5,Patient Name,10,Name Validity Range,4,Range End Date/Time: Degree of Precision
PID,5,Patient Name,11,Name Assembly Order,,
PID,5,Patient Name,12,Effective Date,1,Time
PID,5,Patient Name,12,Effective Date,2,Degree of Precision
PID,5,Patient Name,13,Expiration Date,1,Time
PID,5,Patient Name,13,Expiration Date,2,Degree of Precision
PID,5,Patient Name,14,Professional Suffix,,
PID,6,Mother's Maiden Name,1,Family Name,1,Surname
PID,6,Mother's Maiden Name,1,Family Name,2,Own Surname Prefix
PID,6,Mother's Maiden Name,1,Family Name,3,Own Surname
PID,6,Mother's Maiden Name,1,Family Name,4,Surname Prefix From Partner/Spouse
PID,6,Mother's Maiden Name,1,Family Name,5,Surname From Partner/Spouse
PID,6,Mother's Maiden Name,2,Given Name,,
PID,6,Mother's Maiden Name,3,Second and Further Given Names or Initials Thereof,,
PID,6,Mother's Maiden Name,4,"Suffix (e.g., JR or III)",,
PID,6,Mother's Maiden Name,5,"Prefix (e.g., DR)",,
PID,6,Mother's Maiden Name,6,"Degree (e.g., MD)",,
PID,6,Mother's Maiden Name,7,Name Type Code,,
PID,6,Mother's Maiden Name,8,Name Representation Code,,
PID,6,Mother's Maiden Name,9,Name Context,1,Identifier
PID,6,Mother's Maiden Name,9,Name Context,2,Text
PID,6,Mother's Maiden Name,9,Name Context,3,Name of Coding System
PID,6,Mother's Maiden Name,9,Name Context,4,Alternate Identifier
PID,6,Mother's Maiden Name,9,Name Context,5,Alternate Text
PID,6,Mother's Maiden Name,9,Name Context,6,Name of Alternate Coding System
PID,6,Mother's Maiden Name,10,Name Validity Range,1,Range Start Date/Time: Time
PID,6,Mother's Maiden Name,10,Name Validity Range,2,Range Start Date/Time: Degree of Precision
PID,6,Mother's Maiden Name,10,Name Validity Range,3,Range End Date/Time: Time
PID,6,Mother's Maiden Name,10,Name Validity Range,4,Range End Date/Time: Degree of Precision
PID,6,Mother's Maiden Name,11,Name Assembly Order,,
PID,6,Mother's Maiden Name,12,Effective Date,1,Time
PID,6,Mother's Maiden Name,12,Effective Date,2,Degree of Precision
PID,6,Mother's Maiden Name,13,Expiration Date,1,Time
PID,6,Mother's Maiden Name,13,Expiration Date,2,Degree of Precision
PID,6,Mother's Maiden Name,14,Professional Suffix,,
PID,7,Date/Time of Birth,1,Time,,
PID,7,Date/Time of Birth,2,Degree of Precision,,
PID,8,Administrative Sex,,,,
PID,9,Patient Alias,1,Family Name,1,Surname
PID,9,Patient Alias,1,Family Name,2,Own Surname Prefix
PID,9,Patient Alias,1,Family Name,3,Own Surname
PID,9,Patient Alias,1,Family Name,4,Surname Prefix From Partner/Spouse
PID,9,Patient Alias,1,Family Name,5,Surname From Partner/Spouse
PID,9,Patient Alias,2,Given Name,,
PID,9,Patient Alias,3,Second and Further Given Names or Initials Thereof,,
PID,9,Patient Alias,4,"Suffix (e.g., JR or III)",,
PID,9,Patient Alias,5,"Prefix (e.g., DR)",,
PID,9,Patient Alias,6,"Degree (e.g., MD)",,
PID,9,Patient Alias,7,Name Type Code,,
PID,9,Patient Alias,8,Name Representation Code,,
PID,9,Patient Alias,9,Name Context,1,Identifier
PID,9,Patient Alias,9,Name Context,2,Text
PID,9,Patient Alias,9,Name Context,3,Name of Coding System
PID,9,Patient Alias,9,Name Context,4,Alternate Identifier
PID,9,Patient Alias,9,Name Context,5,Alternate Text
PID,9,Patient Alias,9,Name Context,6,Name of Alternate Coding System
PID,9,Patient Alias,10,Name Validity Range,1,Range Start Date/Time: Time
PID,9,Patient Alias,10,Name Validity Range,2,Range Start Date/Time: Degree of Precision
PID,9,Patient Alias,10,Name Validity Range,3,Range End Date/Time: Time
PID,9,Patient Alias,10,Name Validity Range,4,Range End Date/Time: Degree of Precision
PID,9,Patient Alias,11,Name Assembly Order,,
PID,9,Patient Alias,12,Effective Date,1,Time
PID,9,Patient Alias,12,Effective Date,2,Degree of Precision
PID,9,Patient Alias,13,Expiration Date,1,Time
PID,9,Patient Alias,13,Expiration Date,2,Degree of Precision
PID,9,Patient Alias,14,Professional Suffix,,
PID,10,Race,1,Identifier,,
PID,10,Race,2,Text,,
PID,10,Race,3,Name of Coding System,,
PID,10,Race,4,Alternate Identifier,,
PID,10,Race,5,Alternate Text,,
PID,10,Race,6,Name of Alternate Coding System,,
PID,11,Patient Address,1,Street Address,1,Street or Mailing Address
PID,11,Patient Address,1,Street Address,2,Street Name
PID,11,Patient Address,1,Street Address,3,Dwelling Number
PID,11,Patient Address,2,Other Designation,,
PID,11,Patient Address,3,City,,
PID,11,Patient Address,4,State or Province,,
PID,11,Patient Address,5,Zip or Postal Code,,
PID,11,Patient Address,6,Country Code,,
PID,11,Patient Address,7,Address Type,,
PID,11,Patient Address,8,Other Geographic Designation,,
PID,11,Patient Address,9,County/Parish Code,,
PID,11,Patient Address,10,Census Tract,,
PID,11,Patient Address,11,Address Representation Code,,
PID,11,Patient Address,12,Address Validity Range,1,Range Start Date/Time: Time
PID,11,Patient Address,12,Address Validity Range,2,Range Start Date/Time: Degree of Precision
PID,11,Patient Address,12,Address Validity Range,3,Range End Date/Time: Time
PID,11,Patient Address,12,Address Validity Range,4,Range End Date/Time: Degree of Precision
PID,11,Patient Address,13,Effective Date,1,Time
PID,11,Patient Address,13,Effective Date,2,Degree of Precision
PID,11,Patient Address,14,Expiration Date,1,Time
PID,11,Patient Address,14,Expiration Date,2,Degree of Precision
PID,12,County Code,,,,
PID,13,Phone Number - Home,1,Telephone Number,,
PID,13,Phone Number - Home,2,Telecommunication Use Code,,
PID,13,Phone Number - Home,3,Telecommunication Equipment Type,,
PID,13,Phone Number - Home,4,Email Address,,
PID,13,Phone Number - Home,5,Country Code,,
PID,13,Phone Number - Home,6,Area/City Code,,
PID,13,Phone Number - Home,7,Local Number,,
PID,13,Phone Number - Home,8,Extension,,
PID,13,Phone Number - Home,9,Any Text,,
PID,13,Phone Number - Home,10,Extension Prefix,,
PID,13,Phone Number - Home,11,Speed Dial Code,,
PID,13,Phone Number - Home,12,Unformatted Telephone Number,,
PID,14,Phone Number - Business,1,Telephone Number,,
PID,14,Phone Number - Business,2,Telecommunication Use Code,,
PID,14,Phone Number - Business,3,Telecommunication Equipment Type,,
PID,14,Phone Number - Business,4,Email Address,,
PID,14,Phone Number - Business,5,Country Code,,
PID,14,Phone Number - Business,6,Area/City Code,,
PID,14,Phone Number - Business,7,Local Number,,
PID,14,Phone Number - Business,8,Extension,,
PID,14,Phone Number - Business,9,Any Text,,
PID,14,Phone Number - Business,10,Extension Prefix,,
PID,14,Phone Number - Business,11,Speed Dial Code,,
PID,14,Phone Number - Business,12,Unformatted Telephone Number,,
PID,15,Primary Language,1,Identifier,,
PID,15,Primary Language,2,Text,,
PID,15,Primary Language,3,Name of Coding System,,
PID,15,Primary Language,4,Alternate Identifier,,
PID,15,Primary Language,5,Alternate Text,,
PID,15,Primary Language,6,Name of Alternate Coding System,,
PID,16,Marital Status,1,Identifier,,
PID,16,Marital Status,2,Text,,
PID,16,Marital Status,3,Name of Coding System,,
PID,16,Marital Status,4,Alternate Identifier,,
PID,16,Marital Status,5,Alternate Text,,
PID,16,Marital Status,6,Name of Alternate Coding System,,
PID,17,Religion,1,Identifier,,
PID,17,Religion,2,Text,,
PID,17,Religion,3,Name of Coding System,,
PID,17,Religion,4,Alternate Identifier,,
PID,17,Religion,5,Alternate Text,,
PID,17,Religion,6,Name of Alternate Coding System,,
PID,18,Patient Account Number,1,ID Number,,
PID,18,Patient Account Number,2,Check Digit,,
PID,18,Patient Account Number,3,Check Digit Scheme,,
PID,18,Patient Account Number,4,Assigning Authority,1,Namespace ID
PID,18,Patient Account Number,4,Assigning Authority,2,Universal ID
PID,18,Patient Account Number,4,Assigning Authority,3,Universal ID Type
PID,18,Patient Account Number,5,Identifier Type Code,,
PID,18,Patient Account Number,6,Assigning Facility,1,Namespace ID
PID,18,Patient Account Number,6,Assigning Facility,2,Universal ID
PID,18,Patient Account Number,6,Assigning Facility,3,Universal ID Type
PID,18,Patient Account Number,7,Effective Date,,
PID,18,Patient Account Number,8,Expiration Date,,
PID,18,Patient Account Number,9,Assigning Jurisdiction,1,Identifier
PID,18,Patient Account Number,9,Assigning Jurisdiction,2,Text
PID,18,Patient Account Number,9,Assigning Jurisdiction,3,Name of Coding System
PID,18,Patient Account Number,9,Assigning Jurisdiction,4,Alternate Identifier
PID,18,Patient Account Number,9,Assigning Jurisdiction,5,Alternate Text
PID,18,Patient Account Number,9,Assigning Jurisdiction,6,Name of Alternate Coding System
PID,18,Patient Account Number,9,Assigning Jurisdiction,7,Coding System Version ID
PID,18,Patient Account Number,9,Assigning Jurisdiction,8,Alternate Coding System Version ID
PID,18,Patient Account Number,9,Assigning Jurisdiction,9,Original Text
PID,18,Patient Account Number,10,Assigning Agency or Department,1,Identifier
PID,18,Patient Account Number,10,Assigning Agency or Department,2,Text
PID,18,Patient Account Number,10,Assigning Agency or Department,3,Name of Coding System
PID,18,Patient Account Number,10,Assigning Agency or Department,4,Alternate Identifier
PID,18,Patient Account Number,10,Assigning Agency or Department,5,Alternate Text
PID,18,Patient Account Number,10,Assigning Agency or Department,6,Name of Alternate Coding System
PID,18,Patient Account Number,10,Assigning Agency or Department,7,Coding System Version ID
PID,18,Patient Account Number,10,Assigning Agency or Department,8,Alternate Coding System Version ID
PID,18,Patient Account Number,10,Assigning Agency or Department,9,Original Text
PID,19,SSN Number - Patient,,,,
PID,20,Driver's License Number - Patient,1,License Number,,
PID,20,Driver's License Number - Patient,2,"Issuing State, Province, Country",,
PID,20,Driver's License Number - Patient,3,Expiration Date,,
PID,21,Mother's Identifier,1,ID Number,,
PID,21,Mother's Identifier,2,Check Digit,,
PID,21,Mother's Identifier,3,Check Digit Scheme,,
PID,21,Mother's Identifier,4,Assigning Authority,1,Namespace ID
PID,21,Mother's Identifier,4,Assigning Authority,2,Universal ID
PID,21,Mother's Identifier,4,Assigning Authority,3,Universal ID Type
PID,21,Mother's Identifier,5,Identifier Type Code,,
PID,21,Mother's Identifier,6,Assigning Facility,1,Namespace ID
PID,21,Mother's Identifier,6,Assigning Facility,2,Universal ID
PID,21,Mother's Identifier,6,Assigning Facility,3,Universal ID Type
PID,21,Mother's Identifier,7,Effective Date,,
PID,21,Mother's Identifier,8,Expiration Date,,
PID,21,Mother's Identifier,9,Assigning Jurisdiction,1,Identifier
PID,21,Mother's Identifier,9,Assigning Jurisdiction,2,Text
PID,21,Mother's Identifier,9,Assigning Jurisdiction,3,Name of Coding System
PID,21,Mother's Identifier,9,Assigning Jurisdiction,4,Alternate Identifier
PID,21,Mother's Identifier,9,Assigning Jurisdiction,5,Alternate Text
PID,21,Mother's Identifier,9,Assigning Jurisdiction,6,Name of Alternate Coding System
PID,21,Mother's Identifier,9,Assigning Jurisdiction,7,Coding System Version ID
PID,21,Mother's Identifier,9,Assigning Jurisdiction,8,Alternate Coding System Version ID
PID,21,Mother's Identifier,9,Assigning Jurisdiction,9,Original Text
PID,21,Mother's Identifier,10,Assigning Agency or Department,1,Identifier
PID,21,Mother's Identifier,10,Assigning Agency or Department,2,Text
PID,21,Mother's Identifier,10,Assigning Agency or Department,3,Name of Coding System
PID,21,Mother's Identifier,10,Assigning Agency or Department,4,Alternate Identifier
PID,21,Mother's Identifier,10,Assigning Agency or Department,5,Alternate Text
PID,21,Mother's Identifier,10,Assigning Agency or Department,6,Name of Alternate Coding System
PID,21,Mother's Identifier,10,Assigning Agency or Department,7,Coding System Version ID
